kind,item_id,ref_id,stratum,memory_type,query,target,answer,contexts,verifier_hint,verdict,used
claim,JCAL-001,c2,high_risk,semantic,哪些课目要飞 JL-9？,- 「JL-9」有多个可能：JL-9(AC84)、JL-9(AC95),"这个问题里有需要先确认的地方：
- 「JL-9」有多个可能：JL-9(AC84)、JL-9(AC95)。请问是哪一个？","[1] ent:aircraft:AC95 :: AC95 的机型是 JL-9，2 座，周转时间 40 分钟；可用跑道 RWY-1；可执行课目 missionB-1、missionB-2、missionC-1、missionC-2、missionD-1、missionE-1、missionE-2、missionF-1、missionG-1、missionH-1
[2] ent:aircraft:AC84 :: AC84 的机型是 JL-9，2 座，周转时间 40 分钟；可用跑道 RWY-1；可执行课目 missionB-1、missionB-2、missionC-1、missionC-2、missionD-1、missionE-1、missionE-2、missionF-1、missionG-1、missionH-1
[3] ent:mission:missionC-1 :: missionC-1（仪表飞行）属 C 类，时长 35 分钟，周期 16 周，频率每 7 天 1 次，带飞 是，空域 IFR，机型 JL-8、JL-9，先修 A类
[4] ent:mission:missionF-1 :: missionF-1（编队飞行）属 F 类，时长 40 分钟，周期 16 周，频率每 7 天 1 次，带飞 是，空域 SAB，机型 JL-8、JL-9，先修 A类
[5] ent:mission:missionB-1 :: missionB-1（导航飞行）属 B 类，时长 52 分钟，周期 16 周，频率每 7 天 1 次，带飞 是，空域 RT2，机型 JL-8、JL-9，先修 A类",,,
claim,JCAL-002,c2,high_risk,episodic,第 17 周用户提了哪几条修订？,- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",有出处,,
claim,JCAL-002,c3,high_risk,episodic,第 17 周用户提了哪几条修订？,- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",有出处,,
claim,JCAL-002,c4,high_risk,episodic,第 17 周用户提了哪几条修订？,- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",有出处,,
claim,JCAL-002,c5,high_risk,episodic,第 17 周用户提了哪几条修订？,- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",有出处,,
claim,JCAL-002,c6,high_risk,episodic,第 17 周用户提了哪几条修订？,- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",有出处,,
context,JCAL-002,epi:epi_078f328af6f1c30bd83b50f8,high_risk,episodic,第 17 周用户提了哪几条修订？,第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉,"检索到以下相关内容：
- 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
- 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点","[1] epi:epi_078f328af6f1c30bd83b50f8 :: 第 17 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[2] epi:epi_0fc5ace24b6fa635632cb959 :: 第 7 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[4] epi:epi_afac66dc85cbd07220d6fc89 :: 第 8 周用户提出 3 条修订：往后挪挪、别排周三、教员换成孙军
[5] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点",,,
claim,JCAL-003,c1,high_risk,episodic,第 5 周有哪门课被推迟了？为什么？,第5周的课程missionA-2被推迟了。,第5周的课程missionA-2被推迟了。原因是训练窗口时间被压缩到了08:00-16:00，导致该课目无法在原定时间内进行，因此推迟到下一周安排。,"[1] epi:epi_f2177bec3eac09efb3f5a37a :: 第 5 周 missionA-2 因训练窗被压到 08:00-16:00推迟到下周
[2] epi:epi_1720281e44f1a3be422b1b49 :: 第 15 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[3] epi:epi_55554e7f0f18a874ff12ccbe :: 第 6 周 missionB-2 因带飞教员当日已达日上限推迟到下周
[4] epi:epi_dc671c59affd457aad973cfe :: 第 7 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[5] epi:epi_8eae0f0af01e9ca680638de0 :: 第 4 周 missionC-2 因先修 missionC-1 当周未完成推迟到下周",有出处,,
claim,JCAL-003,c2,high_risk,episodic,第 5 周有哪门课被推迟了？为什么？,原因是训练窗口时间被压缩到了08:00-16:00，导致该课目无法在原定时间内进行，因此推迟到下一周安排。,第5周的课程missionA-2被推迟了。原因是训练窗口时间被压缩到了08:00-16:00，导致该课目无法在原定时间内进行，因此推迟到下一周安排。,"[1] epi:epi_f2177bec3eac09efb3f5a37a :: 第 5 周 missionA-2 因训练窗被压到 08:00-16:00推迟到下周
[2] epi:epi_1720281e44f1a3be422b1b49 :: 第 15 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[3] epi:epi_55554e7f0f18a874ff12ccbe :: 第 6 周 missionB-2 因带飞教员当日已达日上限推迟到下周
[4] epi:epi_dc671c59affd457aad973cfe :: 第 7 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[5] epi:epi_8eae0f0af01e9ca680638de0 :: 第 4 周 missionC-2 因先修 missionC-1 当周未完成推迟到下周",有出处,,
context,JCAL-003,epi:epi_f2177bec3eac09efb3f5a37a,high_risk,episodic,第 5 周有哪门课被推迟了？为什么？,第 5 周 missionA-2 因训练窗被压到 08:00-16:00推迟到下周,第5周的课程missionA-2被推迟了。原因是训练窗口时间被压缩到了08:00-16:00，导致该课目无法在原定时间内进行，因此推迟到下一周安排。,"[1] epi:epi_f2177bec3eac09efb3f5a37a :: 第 5 周 missionA-2 因训练窗被压到 08:00-16:00推迟到下周
[2] epi:epi_1720281e44f1a3be422b1b49 :: 第 15 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[3] epi:epi_55554e7f0f18a874ff12ccbe :: 第 6 周 missionB-2 因带飞教员当日已达日上限推迟到下周
[4] epi:epi_dc671c59affd457aad973cfe :: 第 7 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[5] epi:epi_8eae0f0af01e9ca680638de0 :: 第 4 周 missionC-2 因先修 missionC-1 当周未完成推迟到下周",,,
